Temperature,Humidity,Moisture,CO2,Status
32.32,86.78,19.0,412.58,Critical
36.51,73.7,13.67,392.73,Warning
25.58,68.03,15.11,342.53,Warning
26.73,69.77,12.9,329.81,Warning
35.96,63.61,15.0,466.79,Safe
31.12,70.67,12.28,331.22,Warning
29.77,80.33,17.21,407.09,Warning
28.96,50.69,8.9,318.8,Safe
24.87,76.56,14.53,329.91,Safe
28.51,79.84,14.95,392.31,Safe
26.13,59.22,13.17,297.64,Safe
34.86,88.04,18.75,393.0,Critical
34.77,61.06,12.75,453.08,Critical
25.66,54.02,8.97,257.85,Safe
23.59,50.57,10.32,251.39,Safe
39.49,72.13,15.61,413.15,Safe
22.05,50.49,8.8,261.09,Safe
26.81,88.62,16.24,407.18,Critical
36.44,66.03,10.65,438.36,Warning
23.03,82.45,19.18,259.83,Critical
24.96,72.32,13.96,334.78,Safe
35.51,65.22,15.5,400.18,Critical
39.8,62.22,13.17,481.39,Critical
21.98,80.51,16.86,266.44,Critical
21.62,59.59,12.23,222.4,Safe
28.17,77.57,15.33,283.57,Warning
25.76,61.31,14.42,261.09,Safe
24.67,60.58,13.86,330.37,Safe
36.08,57.91,9.27,363.12,Warning
22.98,60.63,9.98,209.24,Safe
35.85,73.8,16.71,509.44,Warning
22.49,77.55,16.71,379.28,Critical
30.01,69.75,11.43,283.63,Warning
34.69,74.15,11.99,363.48,Critical
36.72,73.01,17.31,533.68,Warning
31.52,80.52,14.16,389.03,Safe
38.32,57.26,11.96,464.57,Safe
39.38,68.8,13.21,431.22,Warning
37.15,63.19,13.8,406.61,Safe
36.27,72.0,14.13,403.67,Safe
22.32,80.9,18.37,367.04,Critical
20.02,84.77,16.73,212.52,Critical
30.37,74.91,14.97,369.28,Safe
24.07,71.97,16.96,315.6,Critical
29.69,51.15,11.01,399.84,Safe
26.22,50.55,9.56,265.95,Safe
36.83,54.54,13.59,459.88,Warning
29.97,78.66,15.79,342.4,Safe
39.6,59.75,12.26,438.67,Critical
30.16,85.17,19.22,361.9,Warning
26.8,81.51,14.91,262.96,Warning
34.52,83.5,17.18,456.69,Critical
37.31,67.86,13.48,413.69,Critical
27.54,87.31,19.68,450.72,Critical
31.44,59.34,13.52,308.98,Warning
34.1,82.46,15.81,446.24,Critical
29.91,51.48,10.31,365.08,Safe
37.48,67.61,13.68,436.31,Critical
22.88,84.84,19.79,259.72,Critical
35.63,60.6,12.86,404.2,Warning
37.04,84.09,18.97,446.05,Critical
26.33,78.75,17.31,409.43,Critical
32.35,59.39,12.98,354.38,Warning
34.94,67.36,11.06,426.1,Warning
28.87,77.76,17.97,305.91,Critical
35.92,61.73,11.6,360.49,Warning
30.62,72.64,16.28,334.8,Warning
32.19,65.3,14.16,392.33,Critical
22.86,68.45,12.21,250.5,Safe
37.98,68.61,12.45,449.51,Warning
28.83,63.82,13.29,376.98,Warning
33.81,68.27,12.47,480.35,Safe
22.13,65.25,12.2,249.64,Warning
20.44,83.2,16.01,205.75,Critical
37.3,81.13,19.07,534.05,Critical
34.9,83.31,19.08,488.52,Critical
24.6,82.08,14.73,270.07,Warning
25.01,80.22,17.65,367.29,Critical
22.74,53.89,11.54,211.41,Safe
35.77,51.33,9.46,346.03,Warning
38.19,63.07,12.11,394.58,Critical
37.53,64.63,12.94,403.6,Warning
25.14,82.99,16.49,382.89,Warning
36.08,68.73,11.2,457.46,Warning
37.2,78.97,18.67,540.11,Critical
36.09,64.63,14.67,356.48,Critical
22.47,64.74,14.44,258.85,Warning
36.45,87.61,15.17,397.76,Critical
32.39,87.73,16.51,424.06,Critical
32.95,75.42,14.87,436.02,Warning
22.33,51.81,7.59,340.6,Safe
22.32,59.39,12.1,265.88,Safe
27.42,87.98,18.77,374.48,Critical
31.75,79.06,18.12,432.89,Warning
32.31,87.56,16.19,434.49,Critical
24.35,67.79,11.97,281.38,Warning
30.89,89.11,16.97,377.45,Critical
39.36,87.96,19.54,425.97,Critical
24.24,75.58,17.94,260.19,Warning
24.87,55.04,11.4,236.68,Safe
35.3,58.29,9.95,461.9,Safe
35.49,81.55,16.89,403.71,Critical
39.68,89.5,18.14,535.26,Critical
22.2,84.66,14.72,272.92,Warning
35.77,73.55,11.8,379.16,Warning
34.83,71.04,15.68,422.9,Safe
30.26,54.36,10.9,428.37,Safe
34.54,86.35,18.22,404.76,Critical
32.87,51.25,13.24,450.47,Safe
33.72,69.61,16.38,350.86,Critical
26.44,55.93,8.94,328.99,Safe
31.71,78.49,14.98,407.58,Safe
29.07,74.22,12.44,385.18,Safe
28.6,85.52,16.59,421.34,Warning
28.32,53.8,10.32,361.22,Safe
27.49,56.11,13.76,274.44,Safe
36.64,53.73,8.33,446.26,Warning
31.13,73.46,15.06,359.34,Safe
28.22,84.94,19.63,368.02,Critical
38.32,52.06,9.14,398.89,Warning
31.56,58.51,12.64,334.68,Safe
27.0,72.25,12.14,295.27,Safe
36.14,83.81,19.61,510.4,Critical
32.27,75.71,12.3,452.85,Warning
20.58,60.93,13.76,342.05,Safe
27.02,57.26,9.31,341.93,Safe
21.39,79.64,18.76,242.38,Critical
30.61,65.05,12.73,314.94,Warning
34.43,81.07,16.62,360.99,Critical
21.05,56.3,11.97,298.18,Safe
25.44,76.48,15.21,321.18,Safe
24.31,70.49,13.17,246.69,Warning
30.54,62.34,10.79,436.86,Safe
20.15,62.06,10.68,196.86,Safe
25.11,63.12,9.67,338.97,Safe
22.58,71.3,12.64,298.4,Warning
21.44,84.47,14.15,208.15,Warning
38.42,84.48,17.35,482.69,Critical
34.19,66.71,11.03,320.39,Safe
23.44,87.9,17.34,351.44,Critical
27.24,67.47,11.13,317.76,Warning
30.48,65.83,12.03,339.27,Warning
35.58,53.06,11.41,417.75,Warning
38.12,63.98,14.16,503.03,Warning
24.73,55.86,9.36,310.48,Safe
35.2,76.22,13.31,462.21,Warning
29.28,72.55,14.99,396.73,Warning
37.28,75.09,12.92,368.33,Warning
32.63,81.85,16.92,387.21,Critical
21.48,68.47,10.92,248.4,Warning
21.53,84.57,19.05,328.95,Critical
30.14,68.51,14.03,418.24,Safe
28.99,82.39,17.39,348.29,Critical
29.51,56.03,8.58,274.56,Warning
39.65,53.37,11.55,380.51,Critical
28.76,67.58,13.65,301.25,Warning
38.36,65.5,14.75,485.97,Warning
35.78,75.89,12.57,355.77,Warning
25.68,78.95,16.73,405.46,Critical
26.67,73.31,12.51,305.22,Warning
22.58,78.35,13.18,301.13,Warning
32.87,63.14,10.39,413.1,Critical
39.94,86.5,14.86,500.97,Warning
20.36,62.35,15.18,254.18,Safe
35.32,57.68,14.54,370.69,Warning
25.92,81.52,16.35,347.31,Critical
34.77,71.06,15.18,483.82,Critical
22.62,65.07,10.99,334.17,Safe
34.42,51.75,9.54,427.03,Safe
32.21,80.1,17.72,368.14,Critical
24.78,88.62,19.43,409.59,Critical
27.36,87.89,20.48,369.87,Critical
25.64,65.27,13.22,397.1,Safe
36.03,55.54,9.61,430.94,Safe
31.09,54.1,12.9,431.59,Warning
21.68,56.41,10.98,273.84,Safe
36.62,53.67,13.2,482.87,Safe
38.61,66.6,12.7,429.43,Safe
39.89,65.0,10.17,518.68,Critical
33.0,81.66,14.16,366.7,Critical
36.6,77.84,13.4,465.89,Warning
32.31,86.23,14.36,349.4,Critical
30.98,79.09,15.98,327.49,Safe
24.75,54.87,9.4,316.73,Safe
32.46,52.51,12.52,387.17,Critical
20.33,70.62,12.58,209.17,Warning
20.03,64.11,13.25,216.52,Safe
30.47,64.42,15.6,389.75,Safe
27.81,68.81,14.58,427.97,Warning
34.95,64.28,10.26,359.38,Critical
32.57,80.86,17.58,386.8,Critical
20.89,71.84,16.25,238.16,Critical
29.29,77.82,16.35,424.49,Critical
34.32,87.74,14.77,369.3,Critical
35.82,85.43,15.98,407.71,Warning
39.78,71.72,12.86,502.63,Warning
25.72,84.49,14.18,353.02,Warning
25.46,81.97,16.02,318.7,Critical
28.79,88.26,16.69,321.24,Critical
33.84,64.69,14.72,374.68,Warning
34.54,53.16,11.25,453.22,Critical
25.88,54.1,9.79,275.05,Safe
28.92,78.71,13.74,348.93,Warning
28.94,79.07,18.28,399.18,Warning
25.49,89.2,20.53,289.56,Critical
32.75,64.53,14.71,429.76,Warning
22.86,74.3,16.55,236.92,Warning
24.72,75.81,14.33,390.76,Warning
32.1,77.16,18.12,391.12,Critical
35.26,72.96,14.77,410.14,Critical
25.57,88.42,14.84,279.67,Warning
30.35,86.54,15.01,422.54,Critical
28.93,89.85,16.68,439.34,Warning
24.0,55.43,8.53,230.28,Safe
34.27,89.89,19.84,516.71,Critical
39.73,76.71,16.6,488.3,Critical
25.81,62.0,10.35,343.38,Safe
34.0,56.96,10.56,348.68,Warning
39.7,81.68,14.76,469.84,Warning
31.08,64.76,14.77,392.91,Safe
21.31,65.93,14.49,282.14,Warning
35.38,82.93,14.03,499.53,Critical
29.0,77.2,14.51,423.02,Critical
32.8,57.28,14.25,388.47,Warning
36.63,70.72,12.97,377.06,Critical
24.51,87.9,17.69,299.0,Critical
21.58,57.85,14.31,251.26,Safe
32.5,74.58,12.48,409.96,Critical
38.83,56.17,12.19,484.55,Critical
26.75,86.96,14.64,398.9,Warning
20.91,75.66,15.59,311.23,Critical
28.33,75.56,15.1,379.15,Safe
32.84,62.08,10.89,432.03,Safe
25.95,52.92,7.94,289.54,Safe
29.69,58.16,12.27,328.26,Warning
34.68,84.43,19.74,386.42,Critical
27.41,72.47,13.41,335.79,Warning
28.99,55.64,8.43,403.31,Warning
24.97,84.61,14.88,296.49,Warning
31.55,62.51,14.08,385.62,Warning
29.98,62.34,9.61,419.09,Warning
39.33,58.61,10.84,375.59,Warning
29.9,85.29,17.98,384.19,Critical
36.94,67.24,15.74,484.5,Safe
27.32,66.02,13.63,292.49,Warning
21.47,70.17,15.62,257.56,Safe
22.57,53.87,10.01,353.64,Safe
31.16,64.62,10.79,381.94,Warning
30.0,51.81,8.18,314.19,Warning
30.39,55.96,13.55,314.01,Warning
23.25,89.62,19.36,297.18,Critical
26.73,83.13,16.82,384.8,Warning
29.5,50.67,9.12,278.14,Warning
31.67,81.87,17.73,435.44,Critical
31.94,60.62,13.06,460.23,Safe
34.43,73.34,12.69,428.39,Critical
35.49,65.21,14.97,388.5,Critical
38.96,54.4,7.99,399.74,Warning
28.26,58.16,11.64,358.64,Safe
29.43,83.94,18.15,417.97,Critical
31.22,89.92,17.85,381.74,Critical
29.19,71.33,14.54,392.74,Warning
32.2,57.69,10.02,381.39,Warning
38.83,89.29,19.49,518.53,Critical
33.8,69.56,13.79,416.63,Critical
25.47,54.87,12.03,295.6,Safe
39.6,82.74,19.28,541.14,Critical
25.81,61.51,13.59,301.47,Safe
28.85,60.26,11.93,300.48,Safe
30.77,87.32,18.64,342.86,Critical
24.85,76.79,15.54,348.27,Warning
22.0,63.21,12.48,311.39,Safe
20.1,72.01,16.98,271.01,Safe
29.55,57.98,14.38,338.79,Safe
38.16,53.58,11.16,443.02,Critical
37.01,51.49,12.83,421.11,Warning
38.68,51.45,12.31,494.42,Warning
38.73,88.49,20.25,548.83,Critical
20.19,72.72,12.19,340.13,Warning
29.09,75.65,15.28,429.58,Warning
37.02,68.72,11.9,367.72,Warning
34.62,75.93,16.5,350.95,Critical
26.74,61.8,13.41,285.36,Safe
32.22,75.55,14.54,383.33,Warning
21.73,76.77,13.46,227.1,Safe
38.72,50.27,9.36,425.48,Safe
39.08,62.08,13.75,381.38,Critical
27.19,59.45,12.9,330.86,Safe
23.19,77.44,18.03,384.1,Warning
33.81,75.55,17.75,405.66,Critical
24.42,88.29,17.53,324.65,Critical
39.78,64.94,14.2,534.85,Critical
36.04,83.02,18.18,480.15,Critical
31.92,81.49,16.45,405.96,Warning
21.56,72.57,11.88,282.62,Safe
31.45,55.99,10.17,368.6,Safe
33.61,78.68,15.67,478.27,Warning
36.17,68.14,13.71,423.34,Warning
31.18,76.91,14.23,306.43,Safe
36.33,79.83,16.44,372.75,Critical
26.89,52.55,13.47,405.78,Safe
39.72,68.88,12.5,408.5,Warning
35.32,89.13,18.7,433.96,Critical
39.86,65.3,15.28,540.08,Safe
21.6,88.57,19.96,257.08,Critical
37.21,54.75,13.91,424.54,Warning
34.56,58.91,8.8,313.24,Warning
25.97,76.94,15.65,343.06,Warning
24.95,63.85,11.42,376.59,Safe
20.64,76.41,15.97,356.05,Warning
24.81,52.69,11.1,295.03,Safe
33.44,84.89,15.45,338.73,Critical
28.78,71.59,15.84,411.17,Safe
30.08,61.57,14.21,408.89,Warning
31.55,80.9,18.09,363.85,Critical
39.71,70.85,13.65,429.37,Critical
38.97,85.19,19.51,507.41,Critical
28.54,69.82,16.8,440.05,Critical
27.62,70.98,15.37,338.37,Warning
27.53,80.18,15.88,410.59,Safe
37.15,55.77,10.93,355.37,Warning
28.25,66.66,13.51,332.2,Warning
24.07,75.87,17.71,384.79,Critical
30.71,83.18,13.95,357.2,Critical
32.06,84.94,15.12,438.07,Critical
29.59,84.78,15.95,448.77,Warning
24.24,57.6,12.97,346.75,Safe
35.09,86.58,18.49,475.95,Critical
27.93,59.57,10.84,298.79,Safe
29.33,75.95,14.04,341.04,Safe
29.32,82.11,17.76,423.86,Warning
38.29,64.83,12.45,455.15,Warning
34.83,50.65,10.45,414.0,Critical
28.35,56.1,10.2,315.27,Safe
36.67,69.97,14.92,470.88,Safe
35.27,69.54,15.25,467.29,Safe
23.36,81.8,14.38,340.75,Warning
29.77,86.68,17.59,408.34,Critical
30.48,83.56,14.16,426.48,Warning
35.29,66.5,15.36,386.73,Critical
23.02,58.75,11.49,217.32,Safe
32.75,87.36,19.95,452.74,Critical
20.31,71.29,13.73,194.43,Warning
30.71,61.47,12.31,400.31,Warning
36.12,86.39,14.92,371.21,Critical
22.98,57.68,11.69,338.68,Safe
25.35,65.88,12.41,300.51,Safe
39.8,59.03,12.91,518.21,Critical
39.83,76.0,12.39,445.09,Warning
31.05,52.24,7.5,295.42,Warning
36.91,75.8,14.15,516.22,Critical
37.9,86.77,15.73,521.85,Warning
25.42,86.97,18.5,311.56,Critical
30.86,76.32,13.34,431.37,Warning
39.23,73.48,16.21,507.38,Warning
38.58,61.97,12.78,460.37,Safe
33.54,71.62,13.63,441.91,Critical
34.48,70.03,16.85,357.64,Warning
24.64,53.04,11.24,320.82,Safe
31.91,88.76,16.71,424.11,Warning
29.81,64.23,15.49,364.65,Warning
21.71,74.74,16.74,334.9,Warning
25.36,65.2,14.74,271.98,Warning
26.33,54.26,7.88,272.02,Safe
27.2,60.79,9.95,271.73,Safe
28.98,72.19,13.89,283.45,Warning
31.08,73.88,16.48,451.39,Warning
25.84,65.51,10.61,375.63,Safe
31.44,56.78,10.64,309.81,Warning
25.37,55.84,9.17,263.7,Safe
26.0,81.31,15.43,408.23,Critical
32.5,73.75,12.92,326.72,Safe
20.14,65.83,15.22,258.28,Warning
28.8,67.22,15.39,389.12,Safe
26.01,74.13,16.0,336.74,Safe
39.29,88.75,16.5,506.59,Critical
29.82,73.04,13.06,343.67,Warning
27.3,87.28,15.65,430.81,Warning
33.63,72.0,17.12,415.76,Critical
28.77,61.65,13.49,406.18,Warning
33.46,55.57,9.93,344.68,Warning
23.08,66.93,12.65,285.9,Warning
31.64,71.37,16.81,459.59,Safe
30.87,81.63,15.48,449.38,Critical
31.88,86.58,14.97,353.37,Critical
27.1,75.88,12.44,410.58,Critical
32.93,88.67,16.72,460.3,Critical
22.12,53.94,9.12,306.3,Safe
31.16,77.51,13.83,360.61,Safe
35.45,73.54,14.71,403.24,Warning
29.66,61.82,14.89,304.79,Safe
26.97,63.72,14.45,345.33,Warning
29.52,67.53,14.69,339.68,Warning
20.89,78.43,12.82,247.89,Warning
22.19,82.0,18.98,355.28,Critical
30.32,72.08,13.4,358.42,Warning
24.64,66.2,11.35,325.63,Warning
27.91,79.5,18.2,362.03,Critical
28.59,50.18,8.32,292.04,Safe
34.08,81.84,16.83,472.87,Critical
30.74,64.63,11.11,301.18,Warning
30.55,75.56,15.69,401.76,Critical
22.28,64.08,12.56,233.2,Warning
38.37,73.61,15.75,432.56,Warning
26.11,57.32,12.62,325.93,Safe
28.36,55.51,10.4,285.32,Safe
32.71,77.74,16.42,489.18,Critical
31.1,69.59,11.76,340.13,Warning
32.39,84.62,19.64,419.64,Critical
23.9,65.36,13.44,330.69,Warning
33.69,66.63,15.37,411.94,Warning
31.31,81.84,14.69,311.78,Warning
30.75,56.73,11.09,401.75,Warning
30.99,54.53,8.59,396.87,Warning
30.84,80.27,17.61,387.07,Critical
39.8,54.1,12.8,502.22,Safe
37.5,51.29,8.83,477.1,Warning
28.78,89.76,19.61,343.76,Critical
36.21,73.52,13.81,464.87,Critical
28.56,74.65,16.64,418.96,Warning
31.4,71.29,14.84,335.14,Warning
25.79,60.69,14.29,407.03,Safe
22.71,80.0,15.47,233.94,Warning
25.55,76.24,16.46,279.03,Critical
34.23,83.14,18.2,461.5,Critical
29.79,73.1,13.23,350.33,Warning
21.51,81.78,17.97,289.41,Critical
35.0,77.79,17.82,431.85,Critical
29.76,73.28,16.87,437.5,Warning
34.62,68.34,14.65,396.77,Warning
35.91,65.91,15.99,491.03,Safe
25.37,83.13,15.65,344.42,Warning
31.32,69.41,12.94,407.11,Safe
20.92,75.05,17.03,216.96,Critical
28.83,50.03,12.75,304.42,Safe
33.77,55.28,11.96,342.94,Warning
38.65,60.96,13.12,412.16,Safe
33.29,75.96,12.5,415.5,Critical
28.58,53.65,8.3,281.45,Safe
21.56,73.75,14.87,281.16,Safe
33.91,82.68,19.46,423.97,Critical
22.64,52.83,9.86,312.62,Safe
22.05,62.53,14.79,236.39,Safe
35.47,80.13,13.82,502.67,Critical
21.37,72.53,15.17,235.81,Warning
34.45,75.12,12.93,395.02,Warning
37.2,53.47,8.3,453.89,Critical
34.6,64.06,12.39,454.52,Warning
25.54,53.37,10.99,326.35,Safe
32.15,81.16,17.37,464.01,Critical
33.17,62.07,12.52,395.82,Critical
27.84,75.85,16.87,409.75,Critical
29.9,54.51,10.9,368.53,Safe
39.74,87.36,15.26,531.43,Warning
27.31,77.32,17.04,431.01,Critical
20.33,52.7,9.11,175.22,Safe
21.21,81.57,16.35,314.42,Critical
30.02,66.62,14.53,306.04,Safe
25.55,62.4,12.55,270.76,Safe
36.16,71.46,13.64,451.29,Critical
33.62,52.64,11.72,431.59,Warning
21.16,53.45,10.3,255.64,Safe
32.18,62.37,13.92,429.91,Warning
20.25,55.49,8.17,242.78,Safe
26.93,70.69,16.07,311.13,Safe
22.54,81.24,14.86,361.53,Warning
35.43,51.17,12.08,378.22,Warning
21.28,78.49,16.16,225.93,Critical
29.1,64.4,12.88,366.1,Warning
23.15,80.93,18.55,352.11,Critical
22.31,79.63,12.94,345.19,Warning
20.25,51.84,9.55,317.49,Safe
23.58,88.41,14.89,358.75,Warning
34.28,76.23,13.59,370.47,Warning
25.43,53.12,9.86,303.93,Safe
38.04,57.17,13.26,523.73,Safe
21.38,68.6,12.41,331.03,Warning
21.73,68.27,12.87,248.31,Warning
34.79,59.7,11.15,479.15,Warning
34.65,71.86,16.15,371.34,Warning
20.48,71.66,15.15,311.5,Safe
39.02,50.06,10.96,500.84,Critical
26.15,58.21,14.54,321.37,Safe
39.22,88.9,15.63,435.12,Critical
38.43,85.89,17.3,502.94,Critical
27.45,88.98,15.31,286.34,Warning
22.67,82.8,14.01,307.6,Warning
28.7,88.57,16.13,329.41,Critical
26.3,82.03,17.61,388.71,Warning
29.06,59.34,14.53,305.03,Safe
23.11,56.57,11.11,271.69,Safe
30.72,88.59,15.96,356.33,Safe
37.05,53.62,12.57,402.02,Critical
33.94,51.61,12.34,373.55,Warning
21.82,59.93,11.12,275.95,Safe
33.54,60.41,15.03,335.52,Warning
28.09,68.09,15.11,316.43,Warning
22.04,81.75,14.08,220.67,Warning
35.62,58.89,9.97,390.14,Critical
32.61,75.79,15.65,365.76,Critical
20.44,52.58,12.93,260.0,Safe
22.58,86.2,19.22,294.95,Critical
20.85,68.44,11.7,278.82,Warning
29.92,65.31,12.62,338.93,Safe
25.5,67.84,11.46,330.56,Safe
32.95,69.96,16.29,407.59,Critical
25.6,55.49,9.29,363.99,Safe
30.52,75.23,16.86,436.68,Warning
35.64,64.36,13.14,419.65,Critical
30.05,65.54,11.19,327.47,Safe
20.59,82.43,15.17,331.13,Warning
29.43,64.3,13.36,318.34,Safe
22.0,76.27,13.85,339.86,Critical
21.12,89.86,16.29,348.09,Critical
35.95,64.19,14.87,489.09,Warning
24.73,62.72,13.97,294.56,Safe
31.83,78.14,14.74,402.82,Warning
31.26,57.53,14.43,445.81,Warning
30.84,57.02,8.63,280.54,Safe
20.4,69.12,12.81,286.31,Safe
26.82,57.1,13.23,393.26,Safe
20.44,73.46,17.2,334.3,Critical
37.21,88.42,16.93,527.46,Critical
27.91,54.04,9.62,269.03,Safe
23.15,87.95,19.34,401.91,Warning
23.48,88.75,18.91,397.97,Warning
24.46,73.56,12.76,277.49,Warning
22.55,79.15,18.52,389.89,Warning
37.02,80.83,16.57,402.18,Critical
26.36,82.35,17.14,371.64,Critical
22.08,69.85,12.96,218.05,Warning
39.65,56.72,13.66,399.0,Critical
33.4,79.17,14.85,330.07,Critical
24.19,77.73,14.65,361.07,Warning
34.41,51.93,10.02,381.34,Warning
37.69,69.72,13.22,450.36,Warning
36.58,81.55,16.78,491.02,Critical
24.51,68.05,15.41,247.5,Safe
26.37,88.07,15.06,286.22,Warning
27.51,79.28,16.14,419.5,Critical
26.76,89.41,20.24,401.52,Warning
38.85,56.6,13.66,401.94,Warning
26.62,88.98,17.25,361.11,Critical
38.51,71.61,15.29,429.13,Warning
20.99,72.87,16.61,237.52,Safe
20.08,53.51,12.65,284.06,Safe
29.61,53.88,9.02,363.31,Safe
29.47,54.62,12.63,353.2,Warning
21.82,71.77,12.46,342.18,Warning
23.73,51.78,9.99,249.39,Safe
36.74,72.57,12.42,460.94,Warning
21.71,63.75,13.0,357.41,Safe
31.07,83.63,18.64,390.88,Warning
31.45,59.43,10.68,351.07,Safe
30.04,86.02,19.01,423.86,Critical
22.41,80.29,14.1,372.1,Warning
39.44,82.34,14.23,453.29,Warning
24.04,82.9,14.47,327.96,Warning
26.39,79.08,17.66,286.12,Critical
31.13,72.08,16.56,397.25,Warning
35.73,74.92,15.12,420.04,Safe
22.99,72.66,15.03,379.42,Safe
38.5,72.51,12.11,411.32,Critical
37.6,85.12,15.61,478.82,Warning
20.75,61.02,10.07,275.23,Safe
33.87,51.55,12.65,374.99,Warning
24.75,79.83,18.49,403.48,Critical
26.76,81.75,15.22,398.56,Critical
